turn_id,pause_index,p_eot
en__000,0,0.2459
en__000,1,0.0910
en__000,2,0.2799
en__000,3,0.2598
en__001,0,0.4111
en__001,1,0.2426
en__002,0,0.3379
en__002,1,0.3963
en__002,2,0.4228
en__002,3,0.1757
en__002,4,0.4123
en__002,5,0.6982
en__002,6,0.3035
en__003,0,0.3669
en__004,0,0.1309
en__004,1,0.3793
en__005,0,0.1362
en__005,1,0.6529
en__006,0,0.5312
en__006,1,0.2321
en__006,2,0.5748
en__007,0,0.0834
en__007,1,0.3279
en__007,2,0.1414
en__007,3,0.1960
en__007,4,0.2789
en__007,5,0.3080
en__007,6,0.4976
en__008,0,0.0930
en__008,1,0.6119
en__008,2,0.6010
en__008,3,0.6137
en__009,0,0.1521
en__010,0,0.1601
en__010,1,0.2747
en__011,0,0.4656
en__012,0,0.5812
en__012,1,0.3617
en__012,2,0.0771
en__013,0,0.5080
en__014,0,0.0944
en__014,1,0.4000
en__015,0,0.1220
en__015,1,0.4116
en__016,0,0.4217
en__016,1,0.7344
en__016,2,0.3768
en__017,0,0.7069
en__017,1,0.2376
en__018,0,0.2190
en__018,1,0.1045
en__018,2,0.5013
en__018,3,0.6632
en__018,4,0.1563
en__018,5,0.4532
en__019,0,0.3862
en__020,0,0.2303
en__020,1,0.2288
en__020,2,0.7478
en__021,0,0.5001
en__022,0,0.4108
en__022,1,0.4127
en__023,0,0.2110
en__023,1,0.1994
en__023,2,0.2814
en__024,0,0.1789
en__024,1,0.2715
en__024,2,0.7746
en__025,0,0.5475
en__026,0,0.1465
en__027,0,0.7419
en__027,1,0.4541
en__028,0,0.6587
en__028,1,0.5054
en__029,0,0.1369
en__029,1,0.1980
en__029,2,0.2851
en__030,0,0.4895
en__030,1,0.4095
en__030,2,0.5113
en__030,3,0.7078
en__030,4,0.6462
en__031,0,0.6082
en__032,0,0.2893
en__032,1,0.3776
en__033,0,0.1861
en__034,0,0.3087
en__034,1,0.4700
en__035,0,0.6103
en__035,1,0.1289
en__035,2,0.6100
en__036,0,0.2716
en__036,1,0.1990
en__036,2,0.1981
en__037,0,0.3346
en__037,1,0.4913
en__037,2,0.5140
en__037,3,0.5475
en__038,0,0.1231
en__038,1,0.1765
en__038,2,0.1384
en__038,3,0.1557
en__039,0,0.1986
en__039,1,0.2524
en__039,2,0.2199
en__040,0,0.5462
en__041,0,0.4979
en__042,0,0.4567
en__042,1,0.2708
en__042,2,0.3173
en__042,3,0.1142
en__042,4,0.2231
en__043,0,0.4879
en__044,0,0.2958
en__044,1,0.3859
en__044,2,0.8110
en__045,0,0.2506
en__045,1,0.5335
en__046,0,0.1808
en__046,1,0.4764
en__046,2,0.4524
en__047,0,0.4915
en__048,0,0.0950
en__048,1,0.2148
en__049,0,0.0777
en__049,1,0.2327
en__049,2,0.5088
en__049,3,0.3577
en__049,4,0.5525
en__050,0,0.4676
en__051,0,0.8142
en__051,1,0.8103
en__051,2,0.8260
en__052,0,0.6069
en__052,1,0.4073
en__052,2,0.5824
en__053,0,0.3766
en__053,1,0.5392
en__054,0,0.5344
en__054,1,0.4672
en__055,0,0.6569
en__056,0,0.6959
en__057,0,0.7588
en__058,0,0.5803
en__059,0,0.4927
en__059,1,0.0777
en__059,2,0.2487
en__060,0,0.2533
en__060,1,0.1788
en__061,0,0.4494
en__061,1,0.4288
en__061,2,0.3956
en__062,0,0.4930
en__063,0,0.5447
en__063,1,0.7832
en__064,0,0.1352
en__064,1,0.5593
en__065,0,0.4321
en__065,1,0.1703
en__065,2,0.3138
en__066,0,0.4871
en__066,1,0.1815
en__067,0,0.4738
en__067,1,0.5837
en__067,2,0.8352
en__068,0,0.4177
en__068,1,0.1132
en__068,2,0.6720
en__069,0,0.1853
en__069,1,0.6021
en__070,0,0.3499
en__070,1,0.2388
en__070,2,0.3153
en__070,3,0.3126
en__070,4,0.3455
en__070,5,0.4095
en__070,6,0.4435
en__071,0,0.7874
en__072,0,0.4868
en__073,0,0.1785
en__073,1,0.4477
en__074,0,0.6724
en__075,0,0.1762
en__076,0,0.6499
en__077,0,0.1663
en__077,1,0.4524
en__077,2,0.1464
en__078,0,0.1757
en__079,0,0.4646
en__079,1,0.1625
en__080,0,0.4049
en__080,1,0.2980
en__080,2,0.1304
en__080,3,0.4734
en__080,4,0.2315
en__080,5,0.3884
en__081,0,0.2823
en__081,1,0.2152
en__081,2,0.3373
en__081,3,0.3349
en__081,4,0.4557
en__082,0,0.4443
en__082,1,0.4928
en__083,0,0.2555
en__083,1,0.5722
en__083,2,0.6461
en__084,0,0.5161
en__085,0,0.3212
en__086,0,0.2937
en__086,1,0.0853
en__086,2,0.1918
en__087,0,0.1611
en__088,0,0.2785
en__088,1,0.5613
en__089,0,0.4795
en__089,1,0.1747
en__090,0,0.6949
en__090,1,0.8450
en__090,2,0.8296
en__090,3,0.7315
en__091,0,0.7814
en__091,1,0.8529
en__091,2,0.2137
en__091,3,0.6660
en__091,4,0.5781
en__091,5,0.6725
en__091,6,0.7602
en__091,7,0.4282
en__092,0,0.6417
en__092,1,0.4105
en__093,0,0.1326
en__093,1,0.1724
en__093,2,0.4567
en__093,3,0.4057
en__093,4,0.3223
en__094,0,0.4313
en__094,1,0.6347
en__095,0,0.0995
en__095,1,0.2598
en__095,2,0.2024
en__095,3,0.0792
en__095,4,0.3621
en__095,5,0.4662
en__096,0,0.2814
en__097,0,0.7308
en__097,1,0.5699
en__098,0,0.2231
en__099,0,0.4419
