turn_id,pause_index,p_eot
hi__000,0,0.1117
hi__000,1,0.3634
hi__000,2,0.3456
hi__001,0,0.4428
hi__001,1,0.4132
hi__002,0,0.2159
hi__003,0,0.2079
hi__004,0,0.3609
hi__005,0,0.1759
hi__005,1,0.6226
hi__006,0,0.1799
hi__006,1,0.5591
hi__006,2,0.5016
hi__007,0,0.2959
hi__007,1,0.3832
hi__007,2,0.6940
hi__007,3,0.4124
hi__007,4,0.3998
hi__007,5,0.2381
hi__008,0,0.1946
hi__009,0,0.4888
hi__010,0,0.2719
hi__010,1,0.1580
hi__010,2,0.1119
hi__010,3,0.7295
hi__011,0,0.7374
hi__011,1,0.3450
hi__011,2,0.4388
hi__012,0,0.1643
hi__012,1,0.6536
hi__012,2,0.7880
hi__012,3,0.6467
hi__012,4,0.6756
hi__012,5,0.7604
hi__013,0,0.5852
hi__014,0,0.4397
hi__014,1,0.5264
hi__014,2,0.2000
hi__014,3,0.6056
hi__014,4,0.1917
hi__014,5,0.6425
hi__015,0,0.7336
hi__016,0,0.4565
hi__017,0,0.4565
hi__017,1,0.7105
hi__018,0,0.4086
hi__018,1,0.4346
hi__018,2,0.6862
hi__019,0,0.2710
hi__019,1,0.1704
hi__019,2,0.6932
hi__019,3,0.4760
hi__019,4,0.4789
hi__020,0,0.5128
hi__020,1,0.7639
hi__021,0,0.6123
hi__022,0,0.1050
hi__022,1,0.0740
hi__022,2,0.3875
hi__022,3,0.3250
hi__022,4,0.3470
hi__022,5,0.4056
hi__022,6,0.5938
hi__022,7,0.3848
hi__023,0,0.7020
hi__024,0,0.6154
hi__025,0,0.2057
hi__025,1,0.2437
hi__025,2,0.3333
hi__026,0,0.2497
hi__027,0,0.2140
hi__027,1,0.5936
hi__028,0,0.5128
hi__028,1,0.3609
hi__029,0,0.4934
hi__029,1,0.4549
hi__029,2,0.3404
hi__029,3,0.4129
hi__030,0,0.6714
hi__031,0,0.1224
hi__031,1,0.4461
hi__032,0,0.3715
hi__032,1,0.6329
hi__033,0,0.2523
hi__033,1,0.4795
hi__033,2,0.3194
hi__034,0,0.3265
hi__034,1,0.5827
hi__034,2,0.5770
hi__035,0,0.5904
hi__036,0,0.6125
hi__036,1,0.5266
hi__036,2,0.4084
hi__036,3,0.4964
hi__036,4,0.4138
hi__036,5,0.4642
hi__036,6,0.6511
hi__037,0,0.1258
hi__037,1,0.0903
hi__037,2,0.7482
hi__038,0,0.1010
hi__038,1,0.3472
hi__038,2,0.1031
hi__038,3,0.4547
hi__039,0,0.5087
hi__040,0,0.2795
hi__040,1,0.3033
hi__040,2,0.3665
hi__041,0,0.4491
hi__041,1,0.6590
hi__042,0,0.4156
hi__042,1,0.6333
hi__043,0,0.6754
hi__043,1,0.3854
hi__044,0,0.3784
hi__044,1,0.3735
hi__045,0,0.4454
hi__045,1,0.4000
hi__046,0,0.1817
hi__046,1,0.1099
hi__046,2,0.4540
hi__047,0,0.3684
hi__048,0,0.6657
hi__049,0,0.2473
hi__050,0,0.4553
hi__051,0,0.2243
hi__051,1,0.7120
hi__051,2,0.7691
hi__052,0,0.2197
hi__053,0,0.0968
hi__053,1,0.3949
hi__053,2,0.3488
hi__054,0,0.2296
hi__054,1,0.7176
hi__055,0,0.2908
hi__055,1,0.3894
hi__056,0,0.5374
hi__057,0,0.3168
hi__057,1,0.5745
hi__058,0,0.1284
hi__058,1,0.8008
hi__059,0,0.4438
hi__059,1,0.1140
hi__059,2,0.5163
hi__060,0,0.6046
hi__060,1,0.6320
hi__061,0,0.1818
hi__061,1,0.5829
hi__062,0,0.5089
hi__063,0,0.0583
hi__063,1,0.4184
hi__063,2,0.3986
hi__063,3,0.5491
hi__064,0,0.3188
hi__064,1,0.1797
hi__064,2,0.3579
hi__064,3,0.3823
hi__064,4,0.5385
hi__065,0,0.5592
hi__066,0,0.5027
hi__066,1,0.7305
hi__066,2,0.6530
hi__067,0,0.4526
hi__068,0,0.7514
hi__069,0,0.7004
hi__069,1,0.3309
hi__069,2,0.2480
hi__069,3,0.5042
hi__069,4,0.2648
hi__069,5,0.5765
hi__070,0,0.2853
hi__070,1,0.3702
hi__071,0,0.4748
hi__071,1,0.3628
hi__071,2,0.5783
hi__072,0,0.4488
hi__072,1,0.7345
hi__073,0,0.2498
hi__073,1,0.6523
hi__073,2,0.2506
hi__073,3,0.3403
hi__073,4,0.6759
hi__073,5,0.3883
hi__074,0,0.4867
hi__074,1,0.3224
hi__075,0,0.3045
hi__075,1,0.4439
hi__076,0,0.3992
hi__077,0,0.2348
hi__077,1,0.0424
hi__077,2,0.2061
hi__078,0,0.6687
hi__078,1,0.6315
hi__078,2,0.5862
hi__078,3,0.8483
hi__079,0,0.0749
hi__079,1,0.2325
hi__079,2,0.7870
hi__080,0,0.2517
hi__080,1,0.7337
hi__081,0,0.3294
hi__081,1,0.6377
hi__081,2,0.6364
hi__082,0,0.7011
hi__083,0,0.5219
hi__084,0,0.5683
hi__085,0,0.6475
hi__085,1,0.6728
hi__085,2,0.5665
hi__086,0,0.2615
hi__086,1,0.3109
hi__087,0,0.2903
hi__087,1,0.0736
hi__087,2,0.7529
hi__088,0,0.2418
hi__088,1,0.2123
hi__088,2,0.5822
hi__089,0,0.2288
hi__089,1,0.1754
hi__089,2,0.6047
hi__090,0,0.5666
hi__090,1,0.2122
hi__090,2,0.3976
hi__090,3,0.3021
hi__091,0,0.6040
hi__092,0,0.2724
hi__093,0,0.2302
hi__094,0,0.1884
hi__094,1,0.5949
hi__094,2,0.5784
hi__094,3,0.3200
hi__094,4,0.3387
hi__094,5,0.4510
hi__095,0,0.4869
hi__095,1,0.6406
hi__096,0,0.2441
hi__096,1,0.2812
hi__096,2,0.2642
hi__096,3,0.1422
hi__097,0,0.2786
hi__097,1,0.3460
hi__097,2,0.3705
hi__097,3,0.5634
hi__097,4,0.3530
hi__097,5,0.3085
hi__098,0,0.4448
hi__099,0,0.2583
hi__099,1,0.4369
