iter	Logloss
0	0.6862175234
1	0.6776882295
2	0.6716574392
3	0.6671888905
4	0.6621203884
5	0.6577431463
6	0.652170612
7	0.6483437938
8	0.6434834388
9	0.6390841084
10	0.6344339309
11	0.6301488569
12	0.6254541951
13	0.6209379627
14	0.618478775
15	0.6156339338
16	0.6118100074
17	0.6077186215
18	0.6047501718
19	0.6016184899
20	0.5986546547
21	0.5952433925
22	0.5931909007
23	0.5897203261
24	0.5868300161
25	0.5832473386
26	0.5806070143
27	0.5776996613
28	0.5743885656
29	0.570774263
30	0.5678284553
31	0.5647848806
32	0.561631418
33	0.558366714
34	0.5565649463
35	0.5529998041
36	0.549589034
37	0.5470269726
38	0.5444706332
39	0.5417962843
40	0.539859218
41	0.5373860021
42	0.5352969016
43	0.5336431073
44	0.5315323491
45	0.528732669
46	0.5264614474
47	0.5232307065
48	0.5200877036
49	0.518081542
50	0.5155256333
51	0.5141553571
52	0.5122540997
53	0.5105822163
54	0.508367723
55	0.5072316816
56	0.505282802
57	0.5025765819
58	0.5004697
59	0.4986962964
60	0.4969067727
61	0.4943073027
62	0.4922122955
63	0.4902114253
64	0.4890090881
65	0.4870783898
66	0.4852957264
67	0.4835071871
68	0.4818115234
69	0.4789367491
70	0.4757698736
71	0.4736888947
72	0.4712294609
73	0.4696466384
74	0.4682022833
75	0.4661864004
76	0.4636244928
77	0.4622336665
78	0.460697051
79	0.4600000689
80	0.4564603682
81	0.4545379762
82	0.4526228136
83	0.4508589468
84	0.4492708945
85	0.4478440746
86	0.4461463498
87	0.4443362451
88	0.4426588243
89	0.4414329529
90	0.4400816887
91	0.4379726533
92	0.4357857243
93	0.4350272456
94	0.4327467026
95	0.431890057
96	0.4298294437
97	0.4276081824
98	0.4264877073
99	0.4252190744
100	0.4233397207
101	0.4209608263
102	0.4182674039
103	0.4168013911
104	0.414998639
105	0.4132256662
106	0.4116654858
107	0.4093419044
108	0.4075164795
109	0.4060285014
110	0.4037788145
111	0.4016755012
112	0.3999415675
113	0.3976613322
114	0.3956949172
115	0.3934550439
116	0.3908824305
117	0.389480437
118	0.3878676814
119	0.3856480506
120	0.3837887549
121	0.3827033197
122	0.3811487382
123	0.3787613223
124	0.3771711165
125	0.3765353541
126	0.3747248188
127	0.3735172518
128	0.3718060832
129	0.3699817042
130	0.3691293963
131	0.3670706595
132	0.3649663002
133	0.363321612
134	0.3619069745
135	0.3605558949
136	0.3576676461
137	0.3563477301
138	0.3552325772
139	0.3539975689
140	0.3520302003
141	0.3507968533
142	0.348202367
143	0.3468109254
144	0.3451207992
145	0.344338817
146	0.3416877254
147	0.339795451
148	0.3387157071
149	0.337905207
