iter	Passed	Remaining
0	1	198
1	2	163
2	3	158
3	4	152
4	5	146
5	5	142
6	6	139
7	7	137
8	8	135
9	9	133
10	10	131
11	11	129
12	12	127
13	12	125
14	13	124
15	14	123
16	15	124
17	16	124
18	17	122
19	19	123
20	19	122
21	20	121
22	21	119
23	22	118
24	23	117
25	24	116
26	25	115
27	26	114
28	27	113
29	27	111
30	28	110
31	29	109
32	30	108
33	31	107
34	32	106
35	33	106
36	34	105
37	35	104
38	36	103
39	37	102
40	37	100
41	38	99
42	39	98
43	40	97
44	41	96
45	42	95
46	43	94
47	43	93
48	44	92
49	45	91
50	46	90
51	47	89
52	48	89
53	49	88
54	50	87
55	51	86
56	52	85
57	52	84
58	53	83
59	54	82
60	55	81
61	56	80
62	57	79
63	58	78
64	59	77
65	60	76
66	61	75
67	62	75
68	63	74
69	64	74
70	65	73
71	66	72
72	68	71
73	68	70
74	69	69
75	70	68
76	71	68
77	72	67
78	73	66
79	74	65
80	75	64
81	76	63
82	77	62
83	79	62
84	80	61
85	81	60
86	82	59
87	83	58
88	84	57
89	85	56
90	86	55
91	87	55
92	88	54
93	89	53
94	89	52
95	90	51
96	91	50
97	92	49
98	93	48
99	95	47
100	96	46
101	97	45
102	98	44
103	99	44
104	100	43
105	101	42
106	102	41
107	103	40
108	103	39
109	105	38
110	106	37
111	106	36
112	107	35
113	108	34
114	109	33
115	110	32
116	112	31
117	113	30
118	114	29
119	115	28
120	116	27
121	116	26
122	117	25
123	118	24
124	119	23
125	120	22
126	121	22
127	122	21
128	123	20
129	124	19
130	125	18
131	127	17
132	128	16
133	129	15
134	130	14
135	131	13
136	132	12
137	133	11
138	134	10
139	135	9
140	136	8
141	137	7
142	138	6
143	139	5
144	140	4
145	141	3
146	142	2
147	143	1
148	145	0
149	146	0
